clean_date,Average_Q_Price
Q1'08 ,200.0
Q1'09 ,294.25
Q1'10 ,612.0
Q1'11 ,182.66666666666666
Q1'12 ,313.42857142857144
Q1'13 ,379.0
Q1'14 ,237.75
Q1'15 ,580.2722222222221
Q1'16 ,159.0
Q1'17 ,699.0
Q2'08 ,449.0
Q2'09 ,451.0
Q2'10 ,279.0
Q2'11 ,170.25
Q2'12 ,331.62375
Q2'13 ,487.9
Q2'14 ,1292.3333333333333
Q2'15 ,447.1354237288136
Q2'16 ,428.6754054054054
Q2'17 ,190.94506493506486
Q3'08 ,181.2
Q3'09 ,349.0
Q3'10 ,209.0
Q3'11 ,5159.0
Q3'12 ,347.75
Q3'13 ,590.0
Q3'14 ,543.1388888888887
Q3'15 ,321.6464705882353
Q3'16 ,259.1256043956046
Q3'17 ,532.3333333333334
Q4'07 ,349.0
Q4'08 ,262.6666666666667
Q4'09 ,80.0
Q4'10 ,452.875
Q4'11 ,482.3333333333333
Q4'12 ,229.33333333333334
Q4'13 ,214.68421052631578
Q4'14 ,699.99
Q4'15 ,244.49499999999998
Q4'16 ,187.52086956521737
